scores
96
42
62
75
64
42
53
42
43
42
42
43
59
43
52
42
59
70
50
43
42
42
51
43
43
51
43
43
52
68
42
52
43
50
64
85
88
50
43
43
76
57
52
52
51
42
43
43
43
59
44
52
68
43
43
100
43
58
59
43
75
66
49
65
75
42
42
61
43
42
42
62
79
42
42
42
42
43
42
52
44
57
52
51
51
61
78
43
71
42
46
42
42
50
53
51
60
70
51
56
44
42
42
42
42
69
43
43
65
43
42
50
59
52
49
52
43
74
81
60
103
43
43
68
59
42
42
42
44
62
55
42
63
53
53
67
42
78
42
42
49
51
53
63
63
42
42
79
55
53
43
42
42
92
52
50
53
60
42
42
63
50
59
42
43
50
43
50
53
86
58
74
50
42
50
59
44
42
42
86
43
42
42
83
42
42
42
42
42
51
60
42
51
42
100
54
52
42
42
59
115
54
42
70
42
78
42
42
42
92
72
42
42
43
51
51
42
42
57
42
42
75
44
42
63
42
43
83
59
42
42
65
63
42
43
43
87
42
42
53
59
42
43
75
85
86
42
42
51
51
53
58
48
71
42
42
42
52
50
62
87
42
43
51
42
42
51
43
42
42
42
42
43
42
56
55
43
53
43
42
65
42
42
59
50
43
42
43
51
48
42
42
42
42
43
52
66
51
53
68
42
42
58
67
42
51
50
42
42
42
66
42
42
50
42
42
42
43
77
62
47
43
67
83
43
62
51
57
42
64
64
62
65
100
127
42
42
42
58
72
42
128
42
42
67
42
66
42
122
66
55
42
73
51
59
55
52
71
94
42
52
52
47
73
275
52
42
42
43
42
64
42
56
43
42
43
86
42
99
100
100
170
42
72
51
62
105
51
42
50
87
52
56
113
61
135
51
236
49
74
113
42
89
68
61
52
52
82
57
119
74
150
50
60
